feature,importance_%
numeric__channel_C1_bw_5,0
numeric__channel_C5_cf_0,0
numeric__channel_C5_pw_0,0
numeric__channel_C5_bw_0,0
numeric__channel_PO4_pw_2,0
numeric__channel_PO8_cf_4,0
numeric__channel_PO4_cf_3,0
numeric__channel_F6_pw_2,0
numeric__channel_F6_pw_4,0
numeric__channel_F6_cf_4,0
numeric__channel_F6_bw_3,0
numeric__channel_F6_pw_3,0
numeric__channel_F6_cf_3,0
numeric__channel_F6_bw_2,0
numeric__channel_F6_cf_2,0
numeric__channel_PO4_pw_3,0
numeric__channel_F6_bw_1,0
numeric__channel_F6_pw_1,0
numeric__channel_F6_cf_1,0
numeric__channel_F6_bw_0,0
numeric__channel_F6_pw_0,0
numeric__channel_F6_cf_0,0
numeric__channel_F6_bw_4,0
numeric__channel_F6_cf_5,0
numeric__channel_F6_pw_5,0
numeric__channel_F6_bw_5,0
numeric__channel_AF8_cf_0,0
numeric__channel_AF8_pw_0,0
numeric__channel_AF8_bw_0,0
numeric__channel_AF8_cf_1,0
numeric__channel_AF8_pw_1,0
numeric__channel_AF8_bw_1,0
numeric__channel_AF8_cf_2,0
numeric__channel_AF8_pw_2,0
numeric__channel_AF8_bw_2,0
numeric__channel_AF8_cf_3,0
numeric__channel_AF8_pw_3,0
numeric__channel_AF8_bw_3,0
numeric__channel_AF8_cf_4,0
numeric__channel_FT8_bw_5,0
numeric__channel_FT8_pw_5,0
numeric__channel_FT8_cf_5,0
numeric__channel_FC4_pw_5,0
numeric__channel_FC4_bw_0,0
numeric__channel_FC4_cf_1,0
numeric__channel_FC4_pw_1,0
numeric__channel_FC4_bw_1,0
numeric__channel_FC4_cf_2,0
numeric__channel_FC4_pw_2,0
numeric__channel_FC4_bw_2,0
numeric__channel_FC4_cf_3,0
numeric__channel_FC4_pw_3,0
numeric__channel_FC4_bw_3,0
numeric__channel_FC4_cf_4,0
numeric__channel_FC4_pw_4,0
numeric__channel_FC4_bw_4,0
numeric__channel_FC4_cf_5,0
numeric__channel_FC4_bw_5,0
numeric__channel_FT8_bw_4,0
numeric__channel_FT8_cf_0,0
numeric__channel_FT8_pw_0,0
numeric__channel_FT8_bw_0,0
numeric__channel_FT8_cf_1,0
numeric__channel_FT8_pw_1,0
numeric__channel_FT8_bw_1,0
numeric__channel_FT8_cf_2,0
numeric__channel_FT8_pw_2,0
numeric__channel_FT8_bw_2,0
numeric__channel_FT8_cf_3,0
numeric__channel_FT8_pw_3,0
numeric__channel_FT8_bw_3,0
numeric__channel_FT8_cf_4,0
numeric__channel_FT8_pw_4,0
numeric__channel_AF8_pw_4,0
numeric__channel_AF8_bw_4,0
numeric__channel_AF8_cf_5,0
numeric__channel_Iz_pw_0,0
numeric__channel_FCz_pw_1,0
numeric__channel_FCz_bw_1,0
numeric__channel_FCz_pw_2,0
numeric__channel_FCz_bw_2,0
numeric__channel_FCz_cf_3,0
numeric__channel_FCz_pw_3,0
numeric__channel_FCz_bw_3,0
numeric__channel_FCz_cf_4,0
numeric__channel_FCz_pw_4,0
numeric__channel_FCz_bw_4,0
numeric__channel_FCz_cf_5,0
numeric__channel_FCz_pw_5,0
numeric__channel_FCz_bw_5,0
numeric__channel_Iz_cf_0,0
numeric__channel_Iz_bw_0,0
numeric__channel_FCz_pw_0,0
numeric__channel_Iz_cf_1,0
numeric__channel_Iz_pw_1,0
numeric__channel_Iz_bw_1,0
numeric__channel_Iz_cf_2,0
numeric__channel_Iz_pw_2,0
numeric__channel_Iz_bw_2,0
numeric__channel_Iz_cf_3,0
numeric__channel_Iz_pw_3,0
numeric__channel_Iz_bw_3,0
numeric__channel_Iz_cf_4,0
numeric__channel_Iz_pw_4,0
numeric__channel_Iz_bw_4,0
numeric__channel_Iz_cf_5,0
numeric__channel_Iz_pw_5,0
numeric__channel_FCz_bw_0,0
numeric__channel_F2_bw_5,0
numeric__channel_AF8_pw_5,0
numeric__channel_AF4_bw_4,0
numeric__channel_AF8_bw_5,0
numeric__channel_AF4_pw_0,0
numeric__channel_AF4_bw_0,0
numeric__channel_AF4_cf_1,0
numeric__channel_AF4_pw_1,0
numeric__channel_AF4_bw_1,0
numeric__channel_AF4_cf_2,0
numeric__channel_AF4_pw_2,0
numeric__channel_AF4_bw_2,0
numeric__channel_AF4_cf_3,0
numeric__channel_AF4_pw_3,0
numeric__channel_AF4_bw_3,0
numeric__channel_AF4_cf_4,0
numeric__channel_AF4_pw_4,0
numeric__channel_AF4_cf_5,0
numeric__channel_F2_pw_5,0
numeric__channel_AF4_pw_5,0
numeric__channel_AF4_bw_5,0
numeric__channel_F2_pw_0,0
numeric__channel_F2_bw_0,0
numeric__channel_F2_cf_2,0
numeric__channel_F2_pw_2,0
numeric__channel_F2_bw_2,0
numeric__channel_F2_cf_3,0
numeric__channel_F2_pw_3,0
numeric__channel_F2_bw_3,0
numeric__channel_F2_cf_4,0
numeric__channel_F2_pw_4,0
numeric__channel_F2_bw_4,0
numeric__channel_F2_cf_5,0
numeric__channel_C2_bw_5,0
numeric__channel_C2_pw_5,0
numeric__channel_C2_cf_5,0
numeric__channel_P2_bw_3,0
numeric__channel_P6_bw_4,0
numeric__channel_P6_cf_5,0
numeric__channel_P6_pw_5,0
numeric__channel_P6_bw_5,0
numeric__channel_P2_cf_0,0
numeric__channel_P2_pw_0,0
numeric__channel_P2_bw_0,0
numeric__channel_P2_pw_1,0
numeric__channel_P2_bw_1,0
numeric__channel_P2_cf_2,0
numeric__channel_P2_pw_2,0
numeric__channel_P2_bw_2,0
numeric__channel_P2_cf_3,0
numeric__channel_P2_pw_3,0
numeric__channel_P2_cf_4,0
numeric__channel_P6_cf_4,0
numeric__channel_P2_pw_4,0
numeric__channel_P2_bw_4,0
numeric__channel_P2_cf_5,0
numeric__channel_P2_pw_5,0
numeric__channel_P2_bw_5,0
numeric__channel_CPz_cf_0,0
numeric__channel_CPz_bw_0,0
numeric__channel_CPz_cf_1,0
numeric__channel_CPz_pw_1,0
numeric__channel_CPz_cf_2,0
numeric__channel_CPz_pw_2,0
numeric__channel_CPz_bw_2,0
numeric__channel_CPz_cf_3,0
numeric__channel_CPz_pw_3,0
numeric__channel_P6_pw_4,0
numeric__channel_P6_bw_3,0
numeric__channel_CPz_cf_4,0
numeric__channel_PO8_bw_2,0
numeric__channel_PO4_bw_3,0
numeric__channel_PO4_cf_4,0
numeric__channel_PO4_pw_4,0
numeric__channel_PO4_bw_4,0
